timesteps,train/actor_loss,train/critic_loss,train/ent_coef_loss
5284000,-0.35462474822998047,0.0004895326565019786,-3.176003932952881
5288000,-0.3575139045715332,0.0003182161890435964,-0.5729144215583801
5292000,-0.3680298328399658,0.00019440021424088627,1.7521849870681763
5296000,-0.3439450263977051,0.0003015094844158739,2.551645040512085
5300000,-0.35136011242866516,0.0002198576257796958,2.040029525756836
5304000,-0.3574112057685852,0.00022002667537890375,2.898202896118164
5308000,-0.37608346343040466,0.00016550417058169842,1.8748430013656616
5312000,-0.3712635636329651,8.87998758116737e-05,2.7658231258392334
5316000,-0.3601023256778717,5.013223199057393e-05,2.1159238815307617
5320000,-0.3704012632369995,0.00010735499381553382,-0.5606118440628052
5324000,-0.3592368960380554,0.000105964471003972,0.4236413240432739
5328000,-0.3720138370990753,9.764663991518319e-05,1.8949421644210815
5332000,-0.3720308244228363,3.456525155343115e-05,0.43607234954833984
5336000,-0.37226033210754395,0.00015393283683806658,0.5550975203514099
5340000,-0.3722156882286072,0.00011089162580901757,0.45751574635505676
5344000,-0.36619246006011963,2.7263919037068263e-05,-0.07226258516311646
5348000,-0.37714630365371704,7.94448351371102e-05,0.10947339236736298
5352000,-0.37468385696411133,3.509880116325803e-05,-0.7215428352355957
5356000,-0.3720879852771759,3.245564585085958e-05,0.08348654210567474
5360000,-0.36807847023010254,2.9456568881869316e-05,-0.0814649760723114
5364000,-0.3818914294242859,1.530986264697276e-05,0.4305660128593445
5368000,-0.3682417571544647,5.143291491549462e-05,0.38230863213539124
5372000,-0.37932080030441284,1.3711239262192976e-05,0.5615314245223999
5376000,-0.37286216020584106,2.3617303668288514e-05,-0.9154406189918518
5380000,-0.37184005975723267,2.0702505935332738e-05,0.15311980247497559
5384000,-0.36616605520248413,2.8980042770854197e-05,-0.6340886354446411
5388000,-0.36440539360046387,1.2558165508380625e-05,0.07149098813533783
5392000,-0.3717946410179138,1.634896034374833e-05,0.7167384624481201
5396000,-0.36755624413490295,1.8106531570083462e-05,0.5696824193000793
5400000,-0.3636836111545563,1.8304792320122942e-05,-0.12311479449272156
5404000,-0.366127610206604,1.2180411431472749e-05,-0.7409306764602661
5408000,-0.36141425371170044,2.2434713173424825e-05,-1.4877183437347412
5412000,-0.36273589730262756,1.4942695997888222e-05,-0.5040609836578369
